_2015_h8,idstd2005,_2005_q86a10,_2005_q86a6,n5b,d1a3,l1,id2015,n2f,k2c,d2,d10,_2005_q86a9,n2i,_2005_q86a11,idstd2015,i2b,k1c,_2005_q86a1,_2005_q86a5,id2005,_2005_q86a3,n2e,idstd2009,_2005_q86a4,a6a,_2005_q86a8,id2009,i4b,n2a,_2005_q87d,d11,c9b,n5a,n2b,_2005_q87a,main_activity_sales,total_purchases_2015,purchased_on_credit
0.0,61019.0,,,1500000000.0,90.0,135.0,,4000000000.0,100.0,23000000000.0,0.0,,,,599656.0,10000000.0,90.0,,,,,4500000000.0,466234.0,,3.0,,310.0,,6000000000.0,,2.0,200000000.0,2000000000.0,1100000000.0,,20700000000.0,3500000000.0,3150000000.0
0.0,,,,0.0,100.0,120.0,10831.0,10000000000.0,50.0,40000000000.0,0.0,,,,599656.0,200000000.0,50.0,,,,,600000000.0,,,3.0,,,,10000000000.0,,0.0,20000000.0,0.0,3000000000.0,,40000000000.0,0.0,0.0
0.0,61100.0,,,0.0,100.0,181.0,,2000000000.0,50.0,11000000000.0,0.0,,,,599657.0,,100.0,,,,,3000000000.0,466237.0,,2.0,,313.0,,2000000000.0,,0.0,,544000000000.0,1000000000.0,,11000000000.0,544000000000.0,544000000000.0
0.0,61141.0,,,0.0,100.0,45.0,,-9.0,20.0,26000000000.0,0.0,,,,599658.0,,100.0,,,,,19000000000.0,466239.0,,2.0,,316.0,,3300000000.0,,0.0,,0.0,156000000.0,,26000000000.0,0.0,0.0
0.0,,,,0.0,100.0,80.0,10836.0,167000000.0,80.0,44650000000.0,0.0,,,,599658.0,150000000.0,90.0,,,,,29150000000.0,,,2.0,,,,8617000000.0,,0.0,20000000.0,10000000000.0,154000000.0,,44650000000.0,10000000000.0,9000000000.0
0.0,61005.0,,,0.0,30.0,130.0,,-8.0,0.0,30000000000.0,0.0,,,,599659.0,48000000.0,100.0,,,,,-8.0,466243.0,,3.0,,323.0,,3400000000.0,,0.0,,0.0,250000000.0,,9000000000.0,0.0,0.0
0.0,,,,0.0,100.0,103.0,10840.0,,20.0,40000000000.0,0.0,,-9.0,,599659.0,36000000.0,85.0,,,,,,,,3.0,,,15000000.0,1200000000.0,,0.0,60000000.0,3000000000.0,500000000.0,,40000000000.0,3000000000.0,2550000000.0
0.0,61116.0,,,1000000000.0,100.0,80.0,,1687500000.0,80.0,25000000000.0,1.0,,,,599660.0,,50.0,,,,,13500000000.0,466245.0,,2.0,,328.0,,5625000000.0,,0.0,,500000000.0,168000000.0,,25000000000.0,1500000000.0,750000000.0
500000000.0,,,,0.0,80.0,102.0,10842.0,10000000000.0,10.0,100000000000.0,0.0,,,,599660.0,200000000.0,20.0,,,,,20000000000.0,,,2.0,,,,10000000000.0,,3.0,200000000.0,10000000000.0,120000000.0,,80000000000.0,10500000000.0,2100000000.0
0.0,,,,0.0,95.0,60.0,10848.0,1900000000.0,100.0,49500000000.0,0.0,,,,599661.0,48000000.0,85.0,,,,,30000000000.0,,,2.0,,,,3800000000.0,,0.0,,5000000000.0,36000000.0,,47025000000.0,5000000000.0,4250000000.0
