idstd2015,id2015,idstd2009,id2009,idstd2005,id2005,a6a,c9b,d1a3,d2,d10,d11,_2015_h8,i2b,i4b,n2a,n2b,n2i,n2e,n2f,n5a,n5b,_2015_h8,l1,k1c,k2c,main_activity_sales,total_purchases_2015,purchased_on_credit
599483.0,10187.0,,,,,3.0,,100.0,140000000000.0,0.0,0.0,0.0,20000000.0,,-9.0,-9.0,,-9.0,-9.0,1300000000.0,0.0,0.0,68.0,30.0,30.0,140000000000.0,1300000000.0,390000000.0
599485.0,10198.0,,,,,3.0,,100.0,44000000000.0,0.0,0.0,0.0,360000000.0,,6000000000.0,2000000000.0,-9.0,,,12000000000.0,0.0,0.0,130.0,-9.0,10.0,44000000000.0,12000000000.0,-1080000000.0
599486.0,10201.0,,,,,2.0,,100.0,50000000000.0,0.0,0.0,3500000000.0,36000000.0,,-9.0,200000000.0,,38000000000.0,150000000.0,3000000000.0,0.0,3500000000.0,50.0,60.0,70.0,50000000000.0,6500000000.0,3900000000.0
599488.0,10215.0,,,,,3.0,-9.0,100.0,86400000000.0,-7.0,0.0,0.0,1550000000.0,16000000.0,-9.0,-9.0,,-9.0,-9.0,4130000000.0,0.0,0.0,666.0,-9.0,100.0,86400000000.0,4130000000.0,-371700000.0
599489.0,10216.0,,,,,3.0,-9.0,100.0,75000000000.0,-7.0,0.0,0.0,,,45000000000.0,1440000000.0,,-9.0,2500000000.0,1000000000.0,-9.0,0.0,774.0,-9.0,-9.0,75000000000.0,999999991.0,-89999999.19
599490.0,10218.0,,,,,3.0,,100.0,312600000000.0,0.0,1.0,0.0,,,15220000000.0,1320000000.0,,245200000000.0,2415000000.0,0.0,0.0,0.0,330.0,30.0,60.0,312600000000.0,0.0,0.0
599491.0,10220.0,,,,,2.0,,90.0,46000000000.0,0.0,0.0,0.0,3000000000.0,,13300000000.0,180000000.0,12000000000.0,,,0.0,0.0,0.0,110.0,70.0,80.0,41400000000.0,0.0,0.0
599492.0,10230.0,,,,,2.0,30000000.0,70.0,65000000000.0,0.0,0.0,300000000.0,432000000.0,,14000000000.0,276000000.0,75000.0,,,0.0,0.0,300000000.0,432.0,80.0,35.0,45500000000.0,300000000.0,240000000.0
599493.0,10231.0,,,,,2.0,,-9.0,308000000000.0,0.0,1.0,0.0,1000000000.0,,5700000000.0,300000000.0,-9.0,,,0.0,0.0,0.0,85.0,80.0,40.0,-27720000000.0,0.0,0.0
599494.0,10232.0,,,,,2.0,,60.0,902100000000.0,0.0,0.0,2000000000.0,3000000000.0,,51800000000.0,205000000.0,-9.0,,,20000000000.0,8000000000.0,2000000000.0,146.0,30.0,40.0,541260000000.0,30000000000.0,9000000000.0
